track,track_id,artist,artist_id,album_id,album_name,track_score,plays,track_unique_days,dur_min,squared
Center Of Gravity,0RW29DaLDvm4VnIvqxPsUp,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,0mq6gm5cbSU2dMNBV06UGB,Anthology - Le Nostre Anime,15.2,4,4,3.41,0.0
You Know I'm No Good,71tQVEDx49QVZDvDqzmWdb,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,13.875999547835498,6,2,4.9,0.10147042199834515
Mr Charm,7FNkY47xx3oKTjr5tk5m8k,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,13.781177627549262,6,2,4.57,0.0666094218931114
Never Wanna Lose You,35lIzvRVigUkb830xs4bru,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,13.763203797656786,6,2,4.51,0.06000139619734821
"Bizarre Love Triangle - 7"" Remix Edit; 2015 Remaster",1lDzg2JUvcQSPgIfzMWmFe,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),12.899999999999999,4,3,3.75,0.0
Fade To Grey - Extended Version,3EoCDkviATM3JgWYsxrIJl,Visage,0EPf9vAXPdFV5Ezp1sMX8B,5Y50elNMGixIglZpMK2gzW,Fade To Grey (Orchestral),12.275281424853508,3,3,8.62,0.3838953617778555
Fade To Grey - Extended Version,2SAC2na7eq3ZNZsrX4KLv2,Visage,0EPf9vAXPdFV5Ezp1sMX8B,22yF4x7dMFKEhWiZEIZW14,Fade To Grey (Orchestral),12.275281424853508,3,3,8.62,0.3838953617778555
Blue Monday - 2016 Remaster,1RSy7B2vfPi84N80QJ6frX,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),12.118132859308012,3,3,7.51,0.31497055232807636
Astradyne - 2008 Remaster,4kce4Pp3zYbzeuq30MPvpr,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,57UuXCYkx1wZW7gfl8hvjB,Vienna (Remastered Definitive Edition),12.062132514968066,3,3,7.15,0.2904089977930128
I Never Wanted to Begin - Extended Version 2018 Remaster,1pCSpK5PfWU0awKbVe1BRC,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,11.919659099593883,3,3,6.31,0.22792065771661563
All Stood Still - Extended Version 2018 Remaster,0IBHFXgxamyaLuTNZJQMc5,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,11.681420488841937,3,3,5.12,0.12343003896576289
Reap the Wild Wind - Extended Version 2018 Remaster,2OlEUkCbNS9Tzu47LVm19b,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,11.588686459864434,3,3,4.72,0.0827572192387866
"The Perfect Kiss - 7"" Edit; 2015 Remaster",0T4X2GccMCUlsjrTV1L9jw,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),11.513823681865476,3,3,4.42,0.049922667484858026
Up Patriots To Arms - Mix 2015,3BW0oRiUzdrv5vx3Z2JIwD,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,0mq6gm5cbSU2dMNBV06UGB,Anthology - Le Nostre Anime,11.500854258705871,3,3,4.37,0.04423432399380402
"Confusion - UK 7"" Promo Edit; 2015 Remaster",4REb96ZoYZ9uKHGU2yIVTU,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),11.441967929359894,3,3,4.15,0.01840698656135816
Gli Uccelli - Mix 2015,45tnRpjROx5dNj5YIAR8P2,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,0mq6gm5cbSU2dMNBV06UGB,Anthology - Le Nostre Anime,11.419777447701458,3,3,4.07,0.00867431916730648
Testamento,4XQOvd7r3F2bHUAP4nXx12,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,0mq6gm5cbSU2dMNBV06UGB,Anthology - Le Nostre Anime,11.399999999999999,3,3,3.59,0.0
Animals - 2005 Remaster,15l2kEwhZSsj01tZnNzyZ2,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,5dVZpNJraoqCo3BssinMoo,Fear of Music (Deluxe Version),11.399999999999999,3,3,3.51,0.0
"Run 2 - 7"" Remix Edit; 2015 Remaster",1kGG10Dvs406nFVgXcUgzc,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),11.399999999999999,3,3,3.64,0.0
I Treni Di Tozeur - Remastered / 2005,30JB3QUCLD0mD3Ri1gcS9u,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,3pjXBNwPw6YTsFheYa3Khu,Rara la Vita in Due Franco Battiato Duets,11.399999999999999,3,3,3.19,0.0
La Musica Muore,2KFkGnmeVZERMgjv3ALzCX,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,3pjXBNwPw6YTsFheYa3Khu,Rara la Vita in Due Franco Battiato Duets,11.399999999999999,3,3,3.54,0.0
Tutto L'Universo Obbedisce All'Amore,201g0BXy1KLFVUYDT7TL2O,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,3pjXBNwPw6YTsFheYa3Khu,Rara la Vita in Due Franco Battiato Duets,11.399999999999999,3,3,3.46,0.0
Del Suo Veloce Volo (Frankestein) - Remastered 2019,18eIpxD6BLVsM6kU70u2Eu,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,3pjXBNwPw6YTsFheYa3Khu,Rara la Vita in Due Franco Battiato Duets,11.399999999999999,3,3,3.16,0.0
Ringing Hollow,2hr5YABAWkiM1sp5reO7oE,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,10.075784210249424,5,1,5.3,0.1407062297190927
In The Stars,2NxvINbGnBMtcphlpX3UDE,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,9.852469951589471,5,1,4.22,0.026770383464014932
Hit Me In The Head,0yS7srlmeNHZugMlfvKkRK,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,9.8,5,1,2.95,0.0
"Shellshock - 7"" Edit; 2015 Remaster",0LlfU7ff0f4HItHUxa5gI5,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),9.188798098788366,3,2,4.41,0.04879016416943205
"Sub-culture - 7"" Edit; 2015 Remaster",5sBqPuJPv00Vv5GDcEfL8y,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),9.1,3,2,3.44,0.0
"State of the Nation - 7"" Edit; 2015 Remaster",1JJnMIHRpnxUsHnMVhhkPc,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),9.1,3,2,3.53,0.0
Heart of the Country - Special Re-Mix 2018 Remaster,2SEqhzCm9c7fFUi1VKjtL9,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,8.372950882580465,2,2,11.06,0.5085203174871491
White China - Special Mix,6twaMVNxGJgVc3qBKjiQ4M,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,15BhyErNMCS96rXaeAkMre,Lament (2009 Remaster),8.16296708111301,2,2,8.39,0.3703730796796122
Dancing with Tears in My Eyes - US Extended Re-Mix,7vKA7l2WCbdIuS6WvFWVK8,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,8.099715202216762,2,2,7.72,0.3287600014583971
One Small Day - US Club Version 2018 Remaster,657kDbiyvJNfTIUZUhYltp,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,8.099715202216762,2,2,7.72,0.3287600014583971
One Small Day - Final Mix 2018 Remaster,3UEG9u0mlv4Z1cmKeGrJvp,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,8.091798463964489,2,2,7.64,0.3235516210292692
Mr. X - 2008 Remaster,0lmB7rb7KzPP4oJRSGrcks,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,57UuXCYkx1wZW7gfl8hvjB,Vienna (Remastered Definitive Edition),7.9794368304198375,2,2,6.59,0.24962949369726256
Making Flippy Floppy - 2005 Remaster,2OsuNPRc9qt34UOatyrAlZ,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,4sLCQxMRfn3gAHrBNZtbTH,Speaking in Tongues (Deluxe Version),7.895380072241755,2,2,5.9,0.19432899489589153
Mata Hari,7lLBgF01T6H34UhTZzQ5pZ,Dissidenten,7LGjULfs3CUorLei47BKKk,27sWqCRbz5QqrfNTAXn07g,Life At The Pyramids,7.8902099842764635,2,2,5.86,0.19092762123451534
Love's Great Adventure - Extended Version 2018 Remaster,4FO1dPnvt27wJU0UnV7MR6,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,7.870502743536501,2,2,5.71,0.17796233127401417
Love's Great Adventure - Extended Version,6F4rMeKGASZgAq5Q5weswg,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,15BhyErNMCS96rXaeAkMre,Lament (2009 Remaster),7.8664992224260075,2,2,5.68,0.17532843580658458
We Stand Alone - 2008 Remaster,5kGo8wkpR1GCHyPJQUoimD,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,5ueP8JeD2SeNSYzX7ybnPc,Rage in Eden,7.865160015031026,2,2,5.67,0.17444737830988502
586,4GTNodNqM9aamZ0s9Yc5GA,New Order,0yNLKJebCb8Aueb54LYya3,5BmnaerQ5nGMIZshBW4TmE,Live at Bestival 2012,7.862474499869229,2,2,5.65,0.17268059201922953
"Temptation - 7"" Version; 2015 Remaster",4Lz7zvtWOXJlJ591pSo7Tu,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.829485596121258,2,2,5.41,0.15097736586924979
Heart of the Country - Instrumental,3zF5ahmpBlOt7XHTEgvJyd,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,15BhyErNMCS96rXaeAkMre,Lament (2009 Remaster),7.786127832752748,2,2,5.11,0.12245252154786135
Kiew Mission pt.02 - Live from Coventry Cathedral 2022,07YEex2ZTxqf7d7uyU1tR5,Tangerine Dream,1BGN1IdyiSR0ZYrkoKNchl,2MrDi1gCFcd0sfGgjlTVz0,From Virgin To Quantum Years - Coventry Cathedral 22,7.781652844357579,2,2,5.08,0.11950845023524988
Garden Of Earthly Delights - 2001 Remaster,4cu7ZE0JqPJRrNVXTv9wh2,XTC,2qT62DYO8Ajb276vUJmvhz,3suXBde2fATz1UzA6f7UoA,Oranges & Lemons,7.778654812856407,2,2,5.06,0.11753606108974171
Krafty,4ThLct8Gkyl2K6JjJoGYjw,New Order,0yNLKJebCb8Aueb54LYya3,5BmnaerQ5nGMIZshBW4TmE,Live at Bestival 2012,7.769589098998798,2,2,5.0,0.11157177565710492
Lament - Work in Progress Mix,36f2BtrUNQdNGnGLsqnVJL,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,15BhyErNMCS96rXaeAkMre,Lament (2009 Remaster),7.754235041437484,2,2,4.9,0.10147042199834515
L'Ombra Della Luce,5zs69nUZY4kvHRVgGPYyOz,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,0mq6gm5cbSU2dMNBV06UGB,Anthology - Le Nostre Anime,7.752682436198835,2,2,4.89,0.10044897118344492
Summer On A Solitary Beach - Mix 2015,7ueeP0gbCZpcp8cTpz7lAG,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,0mq6gm5cbSU2dMNBV06UGB,Anthology - Le Nostre Anime,7.743299600973889,2,2,4.83,0.09427605327229545
Mine for Life - 2009 Remaster,027FtsrH8qfX2kDFjf3lSr,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,48e5bZFgvlWlVN8KVdaNON,Quartet (2009 Remaster),7.73539110089144,2,2,4.78,0.08907309269173712
Accent on Youth - 2008 Remaster,3RfuCGu5GaLPZnmazkXldx,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,5ueP8JeD2SeNSYzX7ybnPc,Rage in Eden,7.7306061952642615,2,2,4.75,0.08592512846332971
Spooky - 2015 Remaster,5n7sDwrDADAep1mIdCpsh1,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.727399439451801,2,2,4.73,0.08381542069197548
Ceremony - Version 1; 2016 Remaster,1c4OpZ2G1MEcEKSknUZjdD,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.714435372444324,2,2,4.65,0.07528642923968727
Minor Turbulence,2TNBLzoU5a9BIhvQaQDUTO,Tangerine Dream,1BGN1IdyiSR0ZYrkoKNchl,5EJAJsaHhQYLwVbynpcGkD,"The Music of Grand Theft Auto V, Vol. 2: The Score",7.699581479428866,2,2,4.56,0.06551413120320204
One Small Day - 2009 Remaster,2CUH7LxiuXEpfGBA4fsG1W,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,15BhyErNMCS96rXaeAkMre,Lament (2009 Remaster),7.699581479428866,2,2,4.56,0.06551413120320204
Houses in Motion,5B6S9xKyasHFf1ldBkxsdC,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,1JvXxLsm0PxlGH4LXzqMGq,Remain in Light,7.697912982600655,2,2,4.55,0.06441643592148429
Nobody's Diary,2kxWb7TClJzV3DNMunpqon,Yazoo,1G1mX30GpUJqOr1QU2eBSs,2S9hNX05TJt2zKSSgDeNpd,You and Me Both,7.696240814709358,2,2,4.54,0.06331632546668307
Procession - 2015 Remaster,0DVgUfiIYPPE5UurNn1mqm,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.68951510709885,2,2,4.5,0.05889151782819164
Telekon,6wiqkvwldN1xLKEXWucHRZ,Gary Numan,5KQMtyPE8DCQNUzoNqlEsE,2McSfMOhsYBkGNA47IjtnG,Telekon,7.687824338882046,2,2,4.49,0.057779170317136135
Man of Two Worlds - 2009 Remaster,7ojPUFFORfySCjwFeTwA2d,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,15BhyErNMCS96rXaeAkMre,Lament (2009 Remaster),7.6861298008333225,2,2,4.48,0.056664342653501676
The Thin Wall - Steven Wilson Single Mix,6oDGQPXgV0gXuDNzgB6LRq,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,5QOfwhXOAIAPdN0UdeodJw,The Thin Wall (Steven Wilson Single Mix),7.681023398644276,2,2,4.45,0.05330486752912906
All Stood Still - 2008 Remaster,1MDUDmSxJSr50SLGaLIk5O,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,57UuXCYkx1wZW7gfl8hvjB,Vienna (Remastered Definitive Edition),7.6775999694322365,2,2,4.43,0.0510526114685767
All Stood Still - 2008 Remaster,6QaXewwBOo2i5fCd0gtYSA,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,2QDolqCMmtvKMT3EEQKFAv,The Very Best of Ultravox,7.6775999694322365,2,2,4.43,0.0510526114685767
The Voice,2EG2fWCFxHwNqo6gEOxOW0,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,3gMzGxXgstsEZEfjdsIwnM,The Collection,7.6741610495375365,2,2,4.41,0.04879016416943205
Shellshock,3HI1yqFW7yhSkNXhtBTwly,New Order,0yNLKJebCb8Aueb54LYya3,6cjugjFHB3T1alJxAffyxQ,The Best of New Order,7.6741610495375365,2,2,4.41,0.04879016416943205
I Go Wild - Remastered,0trapmPLLO4k2YQehFrO3v,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,3oyjbpNQs5Qm5DNVJW4AlV,Voodoo Lounge (Remastered 2009),7.672435736651286,2,2,4.4,0.04765508990216251
I'll Stay with You - 2015 Remaster,1DTfeFm3A7UyGhjO6Dln3O,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.670706498135064,2,2,4.39,0.04651743298359468
Mr. Jones,7lOYBPQvJBuLgH5UR2cnZe,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,4ksJGDgtixAqJ390XWv0Ua,Popular Favorites 1976 - 1992 / Sand in the Vaseline,7.6620007901142415,2,2,4.34,0.040789993496211444
L'Oceano Di Silenzio - 2008 Remaster,2DXw0mMw8YbMJ6nglSEub7,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,4sWf0wkRfi49tW4NLxdLj2,Fisiognomica (2008 Remastered Edition),7.6620007901142415,2,2,4.34,0.040789993496211444
Once in a Lifetime,1Tr4K5MU5XYE44umXGDndd,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,1JvXxLsm0PxlGH4LXzqMGq,Remain in Light,7.6602476174798255,2,2,4.33,0.03963659044725386
Crystal - Radio Edit; 2015 Remaster,6we46yC7yWsGc9qTIpxaXR,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.6602476174798255,2,2,4.33,0.03963659044725386
"Everythings Gone Green - 7"" Version; 2015 Remaster",1wAvaUHRV7ThdmEgBT3W2A,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.658490391263457,2,2,4.32,0.03848052056806427
Cities - 2005 Remaster,4jSSPIBpwdh1KpAYqZTJbC,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,5dVZpNJraoqCo3BssinMoo,Fear of Music (Deluxe Version),7.642489800273105,2,2,4.23,0.027953815969148133
Scarecrow People - 2001 Remaster,5qoJCrVHq60horajlEnl9y,XTC,2qT62DYO8Ajb276vUJmvhz,3suXBde2fATz1UzA6f7UoA,Oranges & Lemons,7.640690982865303,2,2,4.22,0.026770383464014932
Turn - Stephen Street Edit; 2015 Remaster,18GGANUUrvb5exlNwp7cVb,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.637080524768768,2,2,4.2,0.02439508208471609
Mind - 2005 Remaster,5VMTSLp2WX3dsnsVWiVGB7,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,5dVZpNJraoqCo3BssinMoo,Fear of Music (Deluxe Version),7.637080524768768,2,2,4.2,0.02439508208471609
Up Patriots To Arms,5YFXIIfBrnVRl6FRe7Lp33,Subsonica,7DzxfMQ3VNYR5vw2UFjzSK,3pjXBNwPw6YTsFheYa3Khu,Rara la Vita in Due Franco Battiato Duets,7.629807741996493,2,2,4.16,0.019610356576640713
Up Patriots To Arms,2TzgcheLIDIkXzCmls3WHS,Subsonica,7DzxfMQ3VNYR5vw2UFjzSK,7qqmPYkgoVBLwG8LL8VSyE,Eden (Deluxe Edition),7.629807741996493,2,2,4.16,0.019610356576640713
Regret - 2015 Remaster,3Mqo76SMHsjGZknwQvajJr,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.6279786195732635,2,2,4.15,0.01840698656135816
La Paranoia (Frankenstein - Battiato / Bmg Ricordi) 1972,4JKLpB9PYUghQDkM4sMElh,"Franco Battiato, Juri Camisasca, Osage Tribe",5eCgvKqJkLy8zD2RkhQhuQ,05lAJNmh0iYB4CbtDXicDD,La Convenzione,7.622464689703574,2,2,4.12,0.014779401120772211
Winter Kills,4F0HPVZzFHV2AbMWXUvuOC,Yazoo,1G1mX30GpUJqOr1QU2eBSs,3ka6eg73IDCDYhhrlZHpUb,Upstairs at Eric’s,7.616910462790463,2,2,4.09,0.011125304467409853
Dancing with Tears in My Eyes,3or3oEITvJmMwZRYeWSaen,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,3gMzGxXgstsEZEfjdsIwnM,The Collection,7.613184965134305,2,2,4.07,0.00867431916730648
Nineteen63 - Arthur Baker Radio Remix; 2015 Remaster,35KkE4IibzJmc7kvKyJqX1,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.609441115198902,2,2,4.05,0.006211259999278537
La Cura - Mix 2015,0btOgKDXOFZIAJ4aqXLU3R,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,0mq6gm5cbSU2dMNBV06UGB,Anthology - Le Nostre Anime,7.607562251448408,2,2,4.04,0.004975165426583965
North Yankton Memories,0DDvwrpilEocDgLWlmSEP3,Tangerine Dream,1BGN1IdyiSR0ZYrkoKNchl,5EJAJsaHhQYLwVbynpcGkD,"The Music of Grand Theft Auto V, Vol. 2: The Score",7.607562251448408,2,2,4.04,0.004975165426583965
Heaven - 2005 Remaster,5IpKduzyTWSCebGXkfJ2Mm,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,5dVZpNJraoqCo3BssinMoo,Fear of Music (Deluxe Version),7.603790531548389,2,2,4.02,0.0024937707555195312
Cinnamon Road,2T6XMyhjVL3mGNLRdd3r2U,Tangerine Dream,1BGN1IdyiSR0ZYrkoKNchl,4Mft3FkYzPHdWTmRW0yS1U,Hyperborea (Deluxe Version / Remastered 2020),7.6,2,2,3.96,0.0
Here to Stay - Radio Edit; 2015 Remaster,1Tsz0XQarLCHMAxtEbPYG4,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),7.6,2,2,3.94,0.0
Passacaglia,7aMyDTnpohDEGZn0zpx1XY,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,0mq6gm5cbSU2dMNBV06UGB,Anthology - Le Nostre Anime,7.6,2,2,3.39,0.0
